#gluster volume status g_sftp1 clients
Client connections for volume g_sftp1
----------------------------------------------
Brick : gstorage-60-3.zue.alipay.com:/data/sftp1
Clients connected : 189
Hostname                                               BytesRead    BytesWritten
10.190.12.43:825                                            1076             684
10.190.12.31:783                                            1200             808
10.190.12.52:800                                            1076             684
10.228.211.191:797                                          1068             684
10.190.12.10:768                                            1200             808
10.190.12.36:776                                            1200             808
10.190.12.52:789                                             844             436
10.190.12.47:758                                             844             436
10.190.12.48:763                                            1076             684
10.190.12.53:874                                             844             436
10.190.12.48:760                                             844             436
10.190.12.35:791                                            1200             808
10.228.12.119:1015                                         22636           24120
10.190.12.51:765                                             844             436
10.190.12.8:765                                              844             436
10.190.12.56:761                                            1200             808
10.190.12.43:759                                             844             436
10.190.12.31:755                                             844             436
10.190.12.29:744                                            1076             684
10.228.211.17:754                                            844             436
10.190.12.30:758                                             844             436
10.190.12.46:746                                            1076             684
10.190.12.15:980                                             844             436
10.190.12.35:1014                                            844             436
10.190.12.41:753                                            1200             808
10.190.12.60:754                                            1200             808
10.190.12.38:751                                            1076             684
10.190.12.59:723                                            1200             808
10.190.12.38:745                                             844             436
10.214.48.36:1010                                         542900          617300
10.190.12.36:746                                             844             436
10.190.12.29:743                                             844             436
10.190.12.51:739                                            1076             684
10.190.12.19:938                                            1076             684
10.190.12.42:724                                             844             436
10.190.12.30:733                                            1076             684
10.190.12.8:730                                             1076             684
10.190.12.27:732                                            1200             808
10.190.12.57:724                                             844             436
10.190.12.59:689                                             844             436
10.208.0.34:1008                                    252150143541   2145736002085
10.208.15.146:1007                                  339946439542   2431429166312
10.208.0.33:1007                                    224598907192   2281607063347
10.208.0.32:1006                                    256501681412   2306400062219
10.208.15.154:1005                                  338803919717   2296377521436
10.208.32.43:1013                                   257193665639   1657530421163
10.208.32.42:1005                                   218096593817   1530792839943
10.208.32.41:1008                                   226983274623   1732734455722
10.208.47.96:1018                                   264400586810   1493129580044
----------------------------------------------
